suite,variant,size,hz,p99ms,avgms
Proof,Merkle verify,1000,145966.94,0.007667,0.006851
Proof,Signature-like verify,1000,740583.37,0.001792,0.001350
Proof,Patricia-like verify,1000,1401724.36,0.001000,0.000713
Proof,Merkle verify,10000,105102.80,0.010500,0.009514
Proof,Signature-like verify,10000,737034.09,0.001792,0.001357
Proof,Patricia-like verify,10000,1366814.89,0.001000,0.000732
Proof,Merkle verify,100000,85478.02,0.013000,0.011699
Proof,Signature-like verify,100000,734470.22,0.001792,0.001362
Proof,Patricia-like verify,100000,1315862.92,0.001042,0.000760
Proof,Merkle verify,1000000,71211.20,0.015125,0.014043
Proof,Signature-like verify,1000000,717787.13,0.001792,0.001393
Proof,Patricia-like verify,1000000,1209968.69,0.001083,0.000826
DoubleClaim,Map,1000,31069285.82,0.000042,0.000032
DoubleClaim,Marker,1000,20563553.70,0.000084,0.000049
DoubleClaim,Map,10000,31014332.25,0.000042,0.000032
DoubleClaim,Marker,10000,20058780.51,0.000084,0.000050
DoubleClaim,Map,100000,31057311.80,0.000042,0.000032
DoubleClaim,Marker,100000,18984000.29,0.000125,0.000053
DoubleClaim,Map,1000000,31102274.83,0.000042,0.000032
DoubleClaim,Marker,1000000,21392989.84,0.000084,0.000047